insulin nph human novolin n 100 unitml suspension subcutaneous as directed by prescriber	insulin nph human novolin n 100 unitml suspension 6376 units subcutaneous as directed by prescriber
patient education family ready to learn no apparent learning barriers were identified learning preferences include listening	patient educational needs patient assessed ready to learn no apparent learning barriers
goals patient will verbalize and demonstrate understanding of home exercise program following this therapy session	a patient stated understanding of program and was receptive to modifying activities with activities of daily living
i have reviewed the chief complaint history of present illness past medical history allergies social history family history medications and review of systems	past medical history social history family history and review of systems are otherwise unchanged and unremarkable
discussed the risks benefits alternatives advanced directives and the necessity of other members of the healthcare team participating in the procedure	the treatment for this type of injury is the use of a splint to reduce the movement of the injured tendon
no new confusion or inability to stay alert and awake noisy wheezy or raspy breathing that does not clear with coughing newly painful neck with difficulty bending the neck purple or red rashblotches that stay when pressed by a glass purpural rash currently feeling like you are going to collapse every time you stand sit muffled voice or inability to open mouth fully or complete inability to swallow	no new confusion or inability to stay alert and awake noisy wheezy croupy or raspy breathing that does not clear with coughing newly stiff or painful neck purple or red rashblotches that stay when pressed by a glass purpural rash feeling like he is going to pass out every time he stands or sits up or muffled voice or inability to open mouth fully
no severe abdominal pain or currently feeling like you are going to collapse every time you stand or sit up	no uncontrollable or continuous rectal bleeding feeling like you are going to pass out every time you stand or sit up or new confusion or inability to stay alert and awake
the patient has missed 0 hours of work in the past seven days for issues not related to depression	in the past year the patient has the following number of visits none in the hospital none in the er and one as an outpatient
gait steady history obtained from patient patient appears comfortable patient cooperative alert oriented to person place and time	patient appears uncomfortable patient cooperative alert oriented to person place and time
discussed risks goals alternatives advance directives and the necessity of other members of the healthcare team participating in the procedure with the patient or legal representative and others present during the discussing	discussed risks goals alternatives advance directives and the necessity of other members of the healthcare team participating in the procedure with patient
spent 10 minutes with the patient and greater than 50 of this time was spent counseling the patient regarding diagnosis and available treatment options	risks and benefits were discussed with the patient regarding nonoperative versus operative treatment
no uncontrollable or continuous rectal bleeding currently feeling like you are going to collapse every time you stand or sit up or new confusion or inability to stay alert and awake	no new confusion or inability to stay alert and awake struggling to breathe even while inactive or resting floppiness or fainting or active uncontrolled bleeding
explained diagnosis and treatment plan patientfamily expressed understanding of the content	explained diagnosis and treatment plan patientguardian of patient expressed understanding of the content
discussed the risks goals alternatives and the necessity of other members of the healthcare team participating in the procedure	discussed the risks benefits alternatives advance directives and the necessity of other members of the healthcare team both male and female participating in the procedure
consent form reviewed dated and signed by participant and consent cosigner cms sc	consent form reviewed dated and signed by participant and consent cosigner rmw sc
i independently interviewed and examined the patient and agree with the history exam assessment and plan of care	i have seen and evaluated the patient and reviewed the pertinent imaging and laboratory data
the patient has been instructed on the signs and symptoms of wound infection which include but are not limited to redness tenderness drainage or a fever of 1015 or greater	the patient has been educated in the signs and symptoms of hypocalcemia which may include numbness or tingling around the mouth or in the fingertips
provided explanation about the following educational topics about your cystoscopy	provided explanation about the following educational topics side effects of medication and contraindications
explained diagnosis and treatment plan through interpreter patientchildcaretaker expressed understanding of the content	the diagnosis and treatment plan were explained to the familycaregiver who expressed understanding of the information presented
reviewed history overnight with multidisciplinary treatment team and nursing both prior to and after seeing patient	we reviewed the overnight history with multidisciplinary treatment team both prior to and after meeting with the patient
explained diagnosis and treatment plan patientchildcaregiver expressed understanding of the content	explained diagnosis and treatment plan patientcare giver expressed understanding of the content
no joint pain joint swelling a limp without a known injury discomfort in the legs that improves with movement usually occurring at night painful cramping in your hip thigh or calf muscles after walking or climbing stairs muscle cramps lower leg swelling without a known injury varicose veins or spider veins ulcers or sores on the lower leg red or hot area of the skin pale cold or blue leg or toes nail problem cracking peeling burning or itching between the toes or on the soles of the feet lump or swollen gland under the skin or unable to remove a ring or other piece of jewelry	no joint pain joint swelling pain of a type other than joint pain a limp without a known injury discomfort in the legs that improves with movement usually occurring at night painful cramping in your hip thigh or calf muscles after walking or climbing stairs muscle cramps varicose veins or spider veins ulcers or sores on the lower leg red or hot area of the skin pale cold or blue leg or toes nail problem cracking peeling burning or itching between the toes or on the soles of the feet lump or swollen gland under the skin or unable to remove a ring or other piece of jewelry
please see discharge summary of this date for recapitulation of hospital course discharge diagnosis followup and recommendations	please see dismissal summary dated today for recapitulation of the hospital course discharge diagnoses medications and follow up plans
goals patient will demonstrate a 50 decrease in pain in 6 sessions for increased participation in life or work activities	patient will demonstrate andor verbalize understanding of home exercise program in 6 sessions for improved self management of the condition
no new confusion or inability to stay alert and awake currently struggling to breathe even while inactive or resting any chest pain or discomfort change in heart rate or rhythm or palpitations profuse sweating new weakness numbness or tingling on one half of the body arm and leg or currently feeling like you are going to collapse every time you stand sit	no new confusion or inability to stay alert and awake currently feeling like you are going to collapse every time you stand sit purple or red rashblotches that stay when pressed by a glass purpural rash or newly painful neck with difficulty bending the neck
no typical cold symptoms fever present greater than or equal to 1004 f or 38 c or suspected fever rash white patches on lips tongue or mouth other than throat blisters in the mouth swollen or bull neck hoarseness or lost voice or ear pain	no swollen and tender neck glands multiple cold symptoms skin rash white patches on lips tongue or mouth other than throat blisters in the mouth swollen or bull neck hoarseness or lost voice or ear pain
discussed the risks goals alternatives and the necessity of other members of the healthcare team participating in the procedure	discussed risks goals advanced directive and alternatives with the patient and the necessity of other members of the surgical team participating in the interventional procedure
patient education patient was ready to learn no apparent learning barriers were identified	patient education ready to learn no apparent learning barriers were identified learning preferences including listening
do not drive while you are taking any narcotic medication and until you can slam your foot on the brake without any pain	take the stool softener while you are taking narcotic medications as they can cause constipation
knee the left knee joint was sterilely prepped in the usual fashion and aseptic technique was utilized throughout the procedure	metatarsophalangeal digit the right metatarsophalangeal digit 1 was sterilely prepped in the usual fashion and aseptic technique was utilized throughout the procedure
discussed goals risk alternatives advance directives and the necessity of the other members of the surgical team participating in the procedure with the patient and whoever else is present	i discussed the necessity of other members of the surgical team participating in the interventional procedure
varenicline in addition to discussing the most common side effects ie nausea and sleep disturbances i discussed with patient that some smokers who use varenicline experience agitation depressed mood suicidal thoughts or behaviors	in addition to discussing the most common side effects ienausea and sleep disturbances i discussed with patient that some smokers who use varenicline experience agitation depressed mood or suicidal thoughts
patient discharged to home ambulating without assistance family driving accompanied by parent above persons verbalized understanding of discharge instructions and followup care	patient discharged to home ambulating without assistance driving self accompanied by other family member discharge instructions given to patient
no new confusion or inability to stay alert and awake struggling to breathe even while inactive or resting or currently feeling like you are going to collapse every time you stand or sit up	no inability to speak or make normal sounds new confusion or inability to stay alert and awake sudden swelling of the lips tongue or mouth currently struggling to breathe even while inactive or resting pain pressure or tightness in the chest jaw or arm or currently feeling like she is going to collapse every time she stands sits
the patient understands the information and questions answered the patient wishes to proceed with the biopsy	the procedure alternatives risks and postoperative protocol were discussed in detail with the patient
the plan of care as outlined above was discussed with the patient who expressed understanding and all questions were satisfactorily answered	the plan of care was discussed during the kidney pancreas multidisciplinary transplant team rounds
no floppiness or sunken eyes or soft spot pain pressure or tightness in the chest arm or shoulder jaw or neck or large amounts of pink or white frothy sputum	no new wheezing or chest tightness night sweats or unintentional weight loss with normal or increased appetite
the patient will continue in the outpatient addiction program including 60 minutes of psychoeducational group therapy and 90 minutes of process group therapy daily for approximately 3 weeks	the patient will continue in the early recovery group including 60 minutes of group therapy twice weekly for approximately 6 weeks
no fever present greater than or equal to 1004 f or 38 c or suspected fever very itchy eyes nose roof of mouth or throat hoarseness or lost voice bad breath or ear pain	f or 38 c or suspected fever itchy eyes nose roof of mouth or throat hoarseness or lost voice bad breath or ear pain
the patient will continue in structured therapy group as an adjunct to treatment in outpatient addiction program	patient will continue in structured therapy group as an adjunct to the intensive outpatient addictions program
patient discharged to home ambulating without assistance discharge instructions given to patient above persons verbalized understanding of discharge instructions and followup care	patient discharged to home ambulating without assistance family driving accompanied by parent discharge instructions given to mother discharge instructions given to father
no new confusion or inability to stay alert and awake currently feeling like you are going to collapse every time you stand or sit up purple or red rashblotches that stay when pressed by a glass purpuric rash or new neck pain and difficulty bending the neck	no new confusion or inability to stay alert and awake currently feeling like you are going to collapse every time you stand or sit up purple or red rashblotches that stay when pressed by a glass purpural rash new neck pain and difficulty bending the neck or swelling or puffiness around the eyes
instructions apply one patch every twenty four hours leave on for up to twelve hours within a twenty four hour period	instructions apply 1 patch every 24 hours leave on for up to 12 hours within a 24 hour period to feet for neuropathy
no new confusion or inability to stay alert and awake currently struggling to breathe even while inactive or resting currently feeling like you are going to collapse every time you stand sit any chest pain or discomfort vomit that looks like ground coffee vomiting blood uncontrollable or continuous rectal bleeding black sticky tarlike stools or purple or red rashblotches that stay when pressed by a glass purpural rash	no new confusion or inability to stay alert and awake struggling to breathe even while inactive or resting feeling like you are going to pass out every time you stand or sit up any chest pain or discomfort vomit that looks like ground coffee vomiting blood uncontrollable or continuous rectal bleeding black sticky tarlike stools heavy vaginal bleeding or purple or red rashblotches that stay when pressed by a glass purpural rash
identified illness as a learning need identified followup care as a learning need patients primary language is english no barriers to learning were identified no interventions were used to address barriers to learning teaching methods used included printed patient instructions patient verbalized an understanding of discharge teaching	identified injury as a learning need identified followup care as a learning need patients primary language is english no barriers to learning were identified teaching methods used included printed patient instructions verbal instructions patient verbalized an understanding of discharge teaching
no high fever for more than 48 hours fever each day for more than 72 hours or fever that has recurred after 24 hours without fever	no fever each day for more than 72 hours fever that has recurred after 24 hours without fever or recurrent unexplained fevers over several weeks
the plan of care as outlined above was discussed with the patient who had no apparent learning barriers	the plan was discussed with the patient who voiced her understanding and agreed with the plan of care
no currently feeling like you are going to collapse every time you stand or sit up new confusion or inability to stay alert and awake uncontrollable or continuous rectal bleeding or black sticky tarlike stools	no new confusion or inability to stay alert and awake or currently feeling like she is going to collapse every time she stands or sits up
no inability to speak or make normal sounds new confusion or inability to stay alert and awake sudden swelling of the lips tongue or mouth currently struggling to breathe even while inactive or resting pain pressure or tightness in the chest jaw or arm or currently feeling like you are going to collapse every time you stand sit	no inability to speak or make normal sounds sudden swelling of the lips tongue or mouth pain pressure or tightness in the chest jaw or arm or currently feeling like you are going to collapse every time you stand sit
explained diagnosis and treatment plan patientchildcaregiver expressed understanding of the content	patient education the patient has no barriers to learning and expresses verbal understanding of the issues discussed
identified injury as a learning need patients primary language is english no barriers to learning were identified no interventions were used to address barriers to learning teaching methods used included printed patient instructions verbal instructions	patientfamily education ready to learn no apparent learning barriers were identified learning preferences include listening
this information will be reviewed by the provider and the patientcaregiver will be contacted with any recommendations	encouraged to call back with questions concerns and newworsening symptomsthis information will be reviewed by the provider and the patient will be contacted with any recommendations
there were no apparent barriers to learning or understanding and all questions were answered	no apparent learning barrier identified ready to learn learning preferences include listening and seeing
discussed risks goals alternatives and the necessity of other members of the healthcare team participating in the procedure with the patient	discussed risks benefits goals alternatives advance directives and the necessity of other members of the healthcare team participating in the procedure
no new confusion or inability to stay alert and awake new shortness of breath new wheezing or chest tightness or raised red or white itchy rash that comes and goes hives	no new confusion or inability to stay alert and awake newly stiff or painful neck purple or red rashblotches that stay when pressed by a glass purpural rash severe headache sensitivity to bright light or currently feeling like he is going to collapse every time he stands sits
the patient is making progress but has not yet reached the goals specifically outlined in the individual treatment plan	the patient has the right foot pain but does not relate any other musculoskeletal complaints at the present time
thereafter using ultrasound guidance a 2inch 25gauge needle was advanced into the right subacromialsubdeltoid bursa	thereafter using ultrasound guidance a 35inch 22gauge spinal needle was advanced into the left hip joint in the anterior capsular recess
history obtained from patient patient appears comfortable patient cooperative alert oriented to person place and time	patient arrives via stretcher via emergency medical services unsteady gait lift to cart history obtained from patient patient appears in distress due to pain patient cooperative alert oriented to person place and time
do not drive operate heavy machinery ride motorcycles or atvs drink alcohol or take other drugs that make you tired or sleepy while taking narcotic pain medications	do not drive operate heavy machinery ride motorcycles or atvs drink alcohol or take other drugs that make you tired or sleepy while taking oxycodone
due to the patients cognitive impairment explained diagnosis and treatment plan to familycaregiver	explained diagnosis and treatment plan patientchildcaregiver expressed understanding of the contente
use information was down loaded from the patients pap device and reviewed with the patient	i discussed the indications contraindications and side effects of doxycycline with the patient
gi no dysphagia abdominal pain jaundice nausea vomiting diarrhea constipation melena hematochezia	historian reports abdominal pain historian denies constipation diarrhea hematemesis hematochezia melena historian reports nausea
the general care of a fracture includes the use of a medication to reduce pain the use of a splintcast to reduce movement and resting icing compressing and elevating the injured area	tendonitis is treated with pain medications and sometimes a splint to reduce the movement of the injured tendon
vaccine indications contraindications dosing schedule efficacy and adverse effects for each vaccine were discussed	we reviewed the indications contraindications dosing schedule and side effects for the cipro
no new confusion or inability to stay alert and awake feeling like you are going to pass out every time you stand or sit up blue or dusky lips skin or nail beds purple or red rashblotches that stay when pressed by a glass purpural rash newly stiff or painful neck or puffiness around the eyes	no new confusion or inability to stay alert and awake refusing to move the neck purple or red rashblotches that stay when pressed by a glass purpuric rash severe headache sensitivity to light floppiness or fainting or current or recent seizure
discussed acne and treatment in detail along with consent with risks alternatives and benefits	risks benefits and alternatives of the plans fully discussed with the patient and she understands and agrees
no currently inconsolable crying vomiting diarrhea not eating normally fever of more than 1004	no currently inconsolable vomiting diarrhea not eating normally poor weight gain or jaundice
side effects risks and benefits of immunizations nutritional guidance information discussed andor given	risks and benefits of the procedure including local bleeding trauma and fainting were discussed with the patient
patient education ready to learn no apparent learning barriers were identified learning preferences include listening	patient educational needs patient assessed ready to learn no apparent learning barriers
no new confusion or inability to stay alert and awake currently struggling to breathe even while inactive or resting currently feeling like you are going to collapse every time you stand sit any chest pain or discomfort vomit that looks like ground coffee vomiting blood uncontrollable or continuous rectal bleeding black sticky tarlike stools or purple or red rashblotches that stay when pressed by a glass purpural rash	no new confusion or inability to stay alert and awake any chest pain or discomfort currently struggling to breathe even while inactive or resting currently feeling like you are going to collapse every time you stand sit or muscle weakness or poor coordination
i explained the diagnosis and treatment plan for the patient who expressed understanding of the content	explained diagnosis and treatment plan patients wife expressed understanding of the content
the majority of the time the presence of an extra chromosome depending on which chromosome number is involved leads to an early miscarriage due to incompatibility with life	the majority of the time the presence of an extra chromosome depending on which chromosome number is involved leads to an early miscarriage because it would have been incompatible with life
instructions take 1 tablet approximately 60 minutes before sexual activity maximum dose is once daily	instructions takes 1 tablet three times daily and one additional tablet once daily if needed for anxiety
ready to learn no apparent learning barriers were identified learning preferences included listening	patient education ready to learn no apparent learning barriers were identified learning preferences include listening
discussed the risks benefits alternatives advanced directives and the necessity of other members of the healthcare team participating in the procedure	discussed advance directives and the necessity of other members of the healthcare team participating in the procedure with the patient or legal representative and others present during the discussion
following denial of allergies and review of potential side effects and complications including but not necessarily limited to infection allergic reaction local tissue breakdown and seizure the patient indicated they understood and agreed to proceed	following denial of allergy and review of potential side effects and complications including but not necessarily limited to infection allergic reaction local tissue breakdown systemic effects of corticosteroids elevation of blood glucose injury to soft tissue andor nerves and seizure the patient indicated they understood and agreed to proceed
negative respiratory review of systems historian denies cough shortness of breath wheezing	negative respiratory review of systems historian denies cough cyanosis shortness of breath sputum stridor wheezing
no new confusion or inability to stay alert and awake noisy wheezy or raspy breathing that doesnt clear with coughing new neck pain and difficulty bending the neck purple or red rashblotches that stay when pressed by a glass purpuric rash currently feeling like you are going to collapse every time you stand or sit up muffled voice or inability to open mouth fully or complete inability to swallow	no new confusion or inability to stay alert and awake severe headache newly stiff or painful neck new shortness of breath new wheezing or chest tightness currently feeling like you are going to collapse every time you stand sit sudden onset of trouble swallowing sudden swelling of the lips tongue or mouth or purple or red rashblotches that stay when pressed by a glass purpural rash
she will return to see us should she have any persistent symptoms despite the above interventions	he will return to see us should he have any persistent symptoms despite the above interventions
identified illness as a learning need no barriers to learning were identified no interventions were used to address barriers to learning teaching methods used included printed patient instructions verbal instructions patient verbalized an understanding of discharge teaching	identified illness as a learning need identified followup care as a learning need no barriers to learning were identified involved family member or primary caregiver to address barriers to learning teaching methods used included printed patient instructions verbal instructions
identified illness as a learning need identified followup care as a learning need identified medications as a learning need patients primary language is english no barriers to learning were identified no interventions were used to address barriers to learning teaching methods used included printed patient instructions	identified illness as a learning need identified followup care as a learning need patients primary language is english no barriers to learning were identified no interventions were used to address barriers to learning teaching methods used included printed patient instructions verbal instructions patient demonstrated an understanding of discharge teaching
procedure pause conducted to verify correct patient identity procedure to be performed and as applicable correct side and site correct patient position and availability of implants special equipment or special requirements	after obtaining consent a procedural pause was conducted to verify correct patient identity procedure to be performed correct side and site correct patient position availability of implants and need for special equipment or special requirements
complex assessment performed patient arrives ambulatory gait steady history obtained from patient patient appears uncomfortable patient cooperative alert oriented to person place and time	complex assessment performed patient arrives via hospital wheelchair gait steady history obtained from patient patient appears in distress due to pain patient cooperative alert oriented to person place and time
patient confirms the following sinusitis symptoms upper respiratory symptoms 7 days colored nasal discharge maxillary or frontal pressure	patient confirms the following sinusitis symptoms colored nasal discharge maxillary or frontal pressure facial pain worse with bending forward
no diabetes mellitus kidney disease history of kidney stones documented kidney infection within last 3 months four or more documented urinary tract infections within last 12 months taken antibiotics within the last 4 weeks for urinary tract infection	no diabetes kidney disease documented kidney infection within last 3 months four or more documented urinary tract infections within last 12 months or taken antibiotics within the last 4 weeks for urinary tract infection
the patient has no barriers to learning and expresses verbal understanding of the issues discussed	areas assessed and no known barriers to learning exist with regard to the issues and content of the therapy
the diagnosis and treatment plan was explained to the familycaregiver who expressed understanding of the information presented	explained diagnosis and treatment plan patientfamily expressed understanding of the content
patients age is 9 years of age to less than 18 years old administer inactivated influenza virus vaccine fluzone 05 ml intramuscular	patient is at least 12 months old and less than 13 years old and has not received mmr or varicella vaccine
informed consent discussed risks goals alternatives and the necessity of other members of the healthcare team participating in the procedure with the patient and obtained informed consent	informed consent for sedated bone marrow discussed risks goals and alternatives to sedated bone marrow aspiration and biopsy advance directives and the necessity of other members of the healthcare team participating in the procedure with the patient
when it moves from the kidney into the tube between the kidney and the bladder the ureter it causes severe pain	if the skin nail and soft tissue at the very end of the finger have been cut away it is more difficult to repair the finger
explained diagnosis and treatment plan patient andor parents expressed understanding of the content	the patient verbally expressed understanding and agreement with the above plan and had no further questions
assessment of impairment severitycomplexity of illness the degree of impairment is exemplified by inability to moderate activities	assessment of impairment severitycomplexity of illness the degree of impairment is exemplified by negative influence from living with chronic pain
patient requires extensive assistance in the following activities toileting transfer tofrom bedchair mobility	patient is totally dependent in the following activities eating bathing dressing groominghygiene toileting transfer tofrom bedchair mobility
will follow the patient for blood at enrollment 6 hours 12 hours and 24 hours if the patient remains in the facility for this time	the patient was provided the patient bill of rights and had no questions about them at this time
identified illness as a learning need patients primary language is english no barriers to learning were identified no interventions were used to address barriers to learning teaching methods used included printed patient instructions patient demonstrated an understanding of discharge teaching	identified illness as a learning need no barriers to learning were identified no interventions were used to address barriers to learning involved family member or primary caregiver to address barriers to learning teaching methods used included printed patient instructions patient verbalized an understanding of discharge teaching
no new confusion or inability to stay alert and awake noisy wheezy or raspy breathing that does not clear with coughing new neck pain and difficulty bending the neck purple or red rashblotches that stay when pressed by a glass purpural rash currently feeling like you are going to collapse every time you stand or sit up muffled voice or inability to open mouth fully or complete inability to swallow	no new confusion or inability to stay alert and awake noisy wheezy or raspy breathing that does not clear with coughing newly stiff or painful neck purple or red rashblotches that stay when pressed by a glass purpural rash currently feeling like she is going to collapse every time she stands sits muffled voice or inability to open mouth fully or complete inability to swallow
identified illness as a learning need identified followup care as a learning need patients primary language is english no barriers to learning were identified no interventions were used to address barriers to learning teaching methods used included printed patient instructions verbal instructions	identified injury as a learning need identified followup care as a learning need patients primary language is english no barriers to learning were identified content of teaching was limited to address barriers to learning teaching methods used included printed patient instructions verbal instructions patient demonstrated and verbalized an understanding of discharge teaching
identified illness as a learning need patients primary language is english no barriers to learning were identified no interventions were used to address barriers to learning teaching methods used included printed patient instructions verbal instructions patient verbalized an understanding of discharge teaching	identified injury as a learning need no barriers to learning were identified teaching methods used included printed patient instructions verbal instructions patient verbalized an understanding of discharge teaching
after explanation of the test and answering the patients questions the patient verbalized an understanding	after appropriate informed consent the patient was prepped and draped in the dorsolithotomy position
discussed risks goals alternatives advance directives and the necessity of other members of the healthcare team participating in the procedure with patient legal representative and others present during the discussion	informed consent for unsedated bone marrow discussed risks goals and alternatives to bone marrow aspiration and biopsy advance directives and the necessity of other members of the healthcare team participating in the procedure with the patient
no regular use of warfarin coumadin or regular use of heparin or low molecular weight heparin	no regular use of aspirin regular use of warfarin coumadinxab regular use of heparin or low molecular weight heparin or regular use of antiplatelet drugs
we discussed the stage of the cancer and that the oncologist today would attempt to quantify the potential risk of cancer recurrence	the patient verbalized understanding of the information and was satisfied with the plan of care
the patients caregiver was ready to learn without barriers and understanding of the plan provided	the patient will verbalize understanding of splint wear and care following one treatment session
procedural pause conducted to verify correct patient identity procedure to be performed and as applicable correct side and site correct patient position and special equipment or special requirements	procedural pause conducted to verify correct patient identity procedure to be performed and as applicable correct side and site correct patient position and availability of implants special equipment or special requirements
to maintain line patency 2ml of 09 preservative free nacl was administered to the patient yes	to maintain line patency 10 ml of 09 preservative free nacl is administered to the patient after placement and each blood draw
ready to learn no apparent learning barriers were identified learning preferences including listening	ready to learn no apparent learning barriers were identified although she notes her concentration is off learning preferences include listening reading seeing and doing
gradual onset of symptoms there has been no change in the patients symptoms over time symptoms are constant	sudden onset of symptoms date and time of onset was 1 hour ago there has been no change in the patients symptoms over time are constant
patient discharged to home ambulating without assistance driving self unaccompanied discharge instructions given to patient simple or moderate discharge teaching performed above persons verbalized understanding of discharge instructions and followup care	patient discharged to home in a wheelchair family driving accompanied by other family member above persons verbalized understanding of discharge instructions and followup care
the patient was wearing a respiratory mask at todays visitpatientcaregiver self reports no pain today	patientcaregiver rates pain at a 0 the patient was wearing a respiratory mask at todays visit
i instructed the patient on the importance of maintaining a diet constant in vitamin k maintaining a similar diet during vacation maintaining blood pressure under control reporting any nausea with vomitingdiarrhea reporting viralbacterial infections reporting any change in overthecounter or prescription medicines avoiding alcoholic beverages reporting dentalsurgical proceduresendoscopies at least 10 days ahead of time and promptly reporting any plan to stop or start using tobacco in any form the patient also understands that heshe should quickly get to the emergency department should symptoms suggesting bleeding tiastroke pulmonary embolus or venous thromboembolism occur	i instructed the patient on the importance of maintaining a diet constant in vitamin k maintaining a similar diet during vacation or holidays reporting any change in overthecounter or prescription medicines maintaining blood pressure under control reporting any nausea with vomitingdiarrhea reporting viralbacterial febrile illnesses reporting dentalsurgicalmedical proceduresendoscopies at least 10 days ahead of time
nursing note the patient and parent were instructed to notify the clinic if there is no improvement within 72 hours that the patient is contagious until they have been on medication for 24 hours of the importance of completing all of the medication	patient instructed that they are contagious until they have been on medication for 24 hours of the importance of completing all of the medication
spent 45 minutes with the patient and greater than 50 of this time was spent counseling the patient regarding diagnosis and available treatment options	spent 30 minutes with the patient all of it counseling the patient regarding diagnosis and available treatment options
strep screen treat per protocol strep pharyngitis considered contagiousness until treated for 24 hours advised to recheck if not resolved in one week or sooner if worse in any way medications and side effects discussed	strep screen treat per protocol symptomatic relief discussed advised to recheck if not resolved in one week or sooner if worse in any way
no new confusion or inability to stay alert and awake struggling to breathe even while inactive or resting any chest pain or discomfort change in heart rate or rhythm or palpitations excessive sweating new weakness numbness or tingling on one half of the body an arm and leg or currently feeling like you are going to collapse every time you stand or sit up	no inability to speak or make normal sounds new confusion or inability to stay alert and awake sudden swelling of the lips tongue or mouth currently struggling to breathe even while inactive or resting abrupt onset of breathing problems that came over the course of a minute or two sudden onset of cough choking or gagging after inhaling something into your airway pain pressure or tightness in the chest jaw or arm or change in heart rate or rhythm or palpitations
no struggling to breathe even while inactive or resting or new confusion or inability to stay alert and awake	no blue or dusky lips skin or nail beds struggling to breathe even while inactive or resting sudden onset of coughing choking or gagging due to inhaling something into the airway or apnea
she offers verbalizations that indicate emotional and cognitive understanding of problems related to alcohol and other drug use and describes needed behavior change	he verbalized cognitive awareness of problems related to alcohol and other drug use however behavior change does not seem to be occurring
patient has no smoking history patient denies alcohol use drug use lives in long term care facility	patient currently uses tobacco smokes cigarettes daily with number per day 10 patient denies alcohol use drug use
no struggling to breathe even while inactive or resting feeling faint or passing out or new confusion or inability to stay alert and awake	no new confusion or inability to stay alert and awake struggling to breathe even while inactive or resting currently feeling like you are going to collapse every time you stand or sit up vomiting blood or uncontrollable or continuous rectal bleeding
the patient can complete the following tasks on their own preparing meals feeding themselves dress use the toilet housekeeping bathing walking using transportation getting inout of bed or manage medications	activities of daily living the patient states they cannot complete the following tasks on their own housekeeping using transportation and managing medications
identified illness as a learning need identified followup care as a learning need identified medications as a learning need patients primary language is english no barriers to learning were identified no interventions were used to address barriers to learning teaching methods used included printed patient instructions	identified illness as a learning need glasses for vision identified as a barrier to learning no interventions were used to address barriers to learning teaching methods used included printed patient instructions
the patient initiated appropriate interactions during the session expressed emotions openly and displayed listening skills and empathy for others	the patients bilateral knees were prepped and draped in the usual sterile fashion and the painful area marked
discussed risks goals alternatives advance directives and the necessity of other members of the healthcare team participating in the procedure with the patient	the alternatives were also thoroughly discussed as well as the advanced directives and the patient was made aware that other members of the surgical team will participate in the procedure
patient discharged to home carried family driving accompanied by parent above persons verbalized understanding of discharge instructions and followup care	patient discharged to home carried accompanied by parent discharge instructions given to mother
eyes and vision no pain redness excessive tearing glaucoma cataracts double vision blurred vision flashing lights specks	no pain excessive tearing glaucoma cataracts double vision blurred vision flashing lights specks
the patient was instructed to contact me with regard to any questions pertaining to the procedure as needed	she was instructed to contact me with regard to any questions pertaining to the injection and to inform me of the results in a period of approximately two weeks
explained diagnosis and treatment plan through interpreter patient expressed understanding of the content	i explained the diagnosis and treatment plan and the patient expressed understanding of the content
family at bedside call light within reach hospital id band on patient safety dignity sense of well being and individual rights are respected	cartstretcher in lowest position call light within reach hospital id band on patient safety dignity sense of well being and individual rights are respected
patient discharged to home ambulating without assistance family driving accompanied by parent above persons verbalized understanding of discharge instructions and followup care	patient discharged to home ambulating without assistance discharge instructions given to patient prescriptions given and instructions on side effects given above persons verbalized understanding of discharge instructions and followup care
i have reviewed resident and nursing documentation studies and consultations and agree with the finding documented on the written ed record	i have reviewed physicians assistant and nursing documentation studies and consultations and agree with the findings documented on the written ed record
patient education ready to learn no apparent learning barriers were identified learning preferences include listening	patient is ready to learn no apparent learning barriers were identified learning preferences include listening and visual aids
informed consent discussed risks goals alternatives and the necessity of other members of the healthcare team participating in the procedure with the patient and obtained informed consent	discussed risks goals and necessity of other members of the team participating in the procedure with patient
social history includes no ill contacts social history includes no second hand smoke exposure	social history includes no ill contacts social history includes no second hand smoke exposure patient has no smoking history patient denies alcohol use drug use
albuterol 90 mcgact hfa aerosol 12 puffs by inhalation as directed by prescriber as needed	fluticasone flovent hfa 110 mcgact aerosol 2 puffs by inhalation two times a day as needed
